review_text,rating,date,sentiment_label,source,language
Tempatnya bagus dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2024-05-01,positive,synthetic,id
Nilai budaya terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,5,2025-03-28,positive,synthetic,id
Sangat keren untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-05-01,positive,synthetic,id
Upsells everywhere. It feels wrong for a sacred place.,2,2024-09-16,negative,synthetic,en
Amazing cultural value and a peaceful atmosphere. Informative tour.,5,2024-07-16,positive,synthetic,en
Saya kurang puas karena jalur akses rusak di beberapa titik. Ticket terasa tidak sepadan.,2,2025-07-24,negative,synthetic,id
Worth a stop if you're nearby. Mind your behavior.,3,2026-01-29,neutral,synthetic,en
Sangat keren untuk wisata edukasi. Penjelasan sejarahnya jelas.,4,2024-11-06,positive,synthetic,id
Budaya Toraja terasa kuat. Pengelola informatif. Mohon respect tradisi setempat.,4,2024-09-12,positive,synthetic,id
Tradisi terasa kuat. Warga lokal ramah. Pengunjung sebaiknya hormat dan sopan.,5,2024-10-17,positive,synthetic,id
Budaya Toraja terasa kuat. Pengelola informatif. Pengunjung sebaiknya hormat dan sopan.,5,2025-07-22,positive,synthetic,id
"Nice overall. not enough information boards and some commercialization, but manageable.",3,2025-11-09,neutral,synthetic,en
Tempatnya cantik dan budayanya terasa kuat. Mohon respect tradisi setempat.,4,2025-06-02,positive,synthetic,id
Sangat hebat untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-10-10,positive,synthetic,id
Too commercial. It feels disappointing for a sacred place.,2,2024-11-18,negative,synthetic,en
"Lokasinya lumayan, tapi toiletnya biasa saja. tergantung hari kunjungan.",3,2026-03-14,neutral,synthetic,id
"Too overcrowded, hard to enjoy. Visitor behavior ruined the experience.",1,2025-05-14,negative,synthetic,en
A sacred site with fascinating history. Please respect local traditions.,5,2025-07-08,positive,synthetic,en
Sangat rekomendasi untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-04-24,positive,synthetic,id
Sangat menarik untuk wisata edukasi. Penjelasan sejarahnya jelas.,5,2025-10-05,positive,synthetic,id
Secara umum oke. ada beberapa kios. Hormati tradisi.,3,2024-11-08,neutral,synthetic,id
Saya kecewa karena fasilitas kurang terawat. Biaya masuk cukup mahal.,1,2024-06-17,negative,synthetic,id
"Lokasinya cukup menarik, tapi area parkir sempit. tergantung hari kunjungan.",3,2025-02-07,neutral,synthetic,id
A sacred site with fascinating history. Visitors should be respectful.,4,2025-03-23,positive,synthetic,en
Terlalu terlalu padat dan jadi susah menikmati suasana. Attitude beberapa rombongan buruk.,1,2024-08-10,negative,synthetic,id
Amazing cultural value and a peaceful atmosphere. The guide was helpful.,5,2026-02-27,positive,synthetic,en
Tradisi terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,5,2025-08-18,positive,synthetic,id
Saya kecewa karena toilet kotor. Biaya masuk cukup mahal.,2,2024-08-21,negative,synthetic,id
"Banyak upsell dan kios. Untuk tempat sakral, ini terasa tidak pantas.",1,2025-11-14,negative,synthetic,id
Terlalu penuh rombongan besar dan jadi bising. Banyak pengunjung tidak sopan saat berfoto.,2,2025-10-15,negative,synthetic,id
Nilai budaya terasa kuat. Petugas ramah dan membantu. Pengunjung sebaiknya hormat dan sopan.,5,2025-09-05,positive,synthetic,id
Sangat hebat untuk wisata edukasi. Guide-nya informatif.,5,2024-10-18,positive,synthetic,id
Not worth it: not worth the ticket price and dirty restrooms.,1,2025-12-11,negative,synthetic,en
"Lokasinya lumayan, tapi fasilitasnya standar. lebih enak datang pagi.",3,2025-06-12,neutral,synthetic,id
Tradisi terasa kuat. Pengelola informatif. Mohon respect tradisi setempat.,5,2025-11-10,positive,synthetic,id
Saya tidak nyaman karena fasilitas kurang terawat. Biaya masuk cukup mahal.,1,2024-10-09,negative,synthetic,id
Tempatnya indah dan tradisi lokal terasa hidup. Pengunjung sebaiknya hormat dan sopan.,5,2026-03-10,positive,synthetic,id
"Too crowded, hard to enjoy. Visitor behavior ruined the experience.",2,2025-05-13,negative,synthetic,en
Nilai budaya terasa kuat. Warga lokal ramah. Pengunjung sebaiknya hormat dan sopan.,4,2024-11-05,positive,synthetic,id
Secara umum oke. ticketing cukup tertata. Hormati tradisi.,3,2026-01-14,neutral,synthetic,id
"Lokasinya oke, tapi area parkir sempit. cukup ramai saat jam tertentu.",3,2025-12-01,neutral,synthetic,id
Amazing cultural value and a peaceful atmosphere. Great explanations from the guide.,5,2025-03-23,positive,synthetic,en
"Lokasinya oke, tapi fasilitasnya standar. lebih enak datang pagi.",3,2025-02-24,neutral,synthetic,id
"Interesting visit, but parking is limited. depends on the day.",3,2025-08-30,neutral,synthetic,en
A sacred site with fascinating history. Visitors should be respectful.,4,2024-08-03,positive,synthetic,en
"Too packed, hard to enjoy. Visitor behavior ruined the experience.",1,2025-01-07,negative,synthetic,en
Amazing cultural value and a peaceful atmosphere. The guide was helpful.,5,2025-04-24,positive,synthetic,en
Sangat rekomendasi untuk wisata edukasi. Penjelasan sejarahnya jelas.,5,2024-10-23,positive,synthetic,id
Nilai budaya terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,4,2024-05-31,positive,synthetic,id
Tradisi terasa kuat. Pengelola informatif. Tolong jaga etika saat berkunjung.,5,2025-12-22,positive,synthetic,id
"Lokasinya lumayan, tapi area parkir sempit. lebih enak datang pagi.",3,2025-01-19,neutral,synthetic,id
"Interesting visit, but facilities are average. depends on the day.",3,2026-02-08,neutral,synthetic,en
Not worth it: not worth the ticket price and poor facilities.,2,2025-07-22,negative,synthetic,en
Saya kurang puas karena toilet kotor. Ticket terasa tidak sepadan.,2,2025-02-07,negative,synthetic,id
Tempatnya indah dan budayanya terasa kuat. Pengunjung sebaiknya hormat dan sopan.,5,2024-06-22,positive,synthetic,id
"Too crowded, hard to enjoy. Some visitors had bad behavior.",1,2025-04-03,negative,synthetic,en
Upsells everywhere. It feels disappointing for a sacred place.,2,2024-09-27,negative,synthetic,en
"Secara umum oke. ada unsur komersial, tapi masih wajar. Respect ya.",3,2025-03-05,neutral,synthetic,id
Saya kurang puas karena jalur akses rusak di beberapa titik. Biaya masuk cukup mahal.,1,2024-06-11,negative,synthetic,id
Terlalu ramai sekali dan jadi susah menikmati suasana. Banyak pengunjung tidak sopan saat berfoto.,2,2025-11-30,negative,synthetic,id
The place is great and the local traditions is strong. Please respect local traditions.,4,2024-07-03,positive,synthetic,en
Nilai budaya terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,4,2025-12-24,positive,synthetic,id
Nilai budaya terasa kuat. Pengelola informatif. Mohon respect tradisi setempat.,5,2025-05-24,positive,synthetic,id
"Too crowded, hard to enjoy. Some visitors had bad behavior.",1,2024-11-16,negative,synthetic,en
Saya tidak nyaman karena jalur akses rusak di beberapa titik. Harga ticket mahal.,2,2024-10-31,negative,synthetic,id
Budaya Toraja terasa kuat. Warga lokal ramah. Tolong jaga etika saat berkunjung.,5,2024-08-31,positive,synthetic,id
Menarik untuk dikunjungi. fasilitasnya standar dan petunjuk arah minim.,3,2026-04-01,neutral,synthetic,id
Tradisi terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,4,2025-01-26,positive,synthetic,id
Tempatnya luar biasa dan tradisi lokal terasa hidup. Pengunjung sebaiknya hormat dan sopan.,5,2024-08-08,positive,synthetic,id
Nilai budaya terasa kuat. Petugas ramah dan membantu. Tolong jaga etika saat berkunjung.,5,2025-04-02,positive,synthetic,id
Menarik untuk dikunjungi. area parkir sempit dan petunjuk arah minim.,3,2025-09-11,neutral,synthetic,id
A sacred site with meaningful history. Be respectful and behave properly.,5,2025-06-25,positive,synthetic,en
"Terlalu komersial. Untuk tempat sakral, ini terasa kurang etis.",1,2025-08-16,negative,synthetic,id
Too commercial. It feels disappointing for a sacred place.,2,2025-05-31,negative,synthetic,en
Amazing cultural value and beautiful views. Great explanations from the guide.,5,2024-11-04,positive,synthetic,en
Tempatnya luar biasa dan budayanya terasa kuat. Pengunjung sebaiknya hormat dan sopan.,5,2025-04-23,positive,synthetic,id
Tempatnya indah dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2024-05-24,positive,synthetic,id
Tempatnya cantik dan nilai budaya Toraja terasa. Mohon respect tradisi setempat.,5,2025-09-12,positive,synthetic,id
The place is beautiful and the Toraja culture is strong. Be respectful and behave properly.,5,2025-10-23,positive,synthetic,en
The place is unique and the Toraja culture is strong. Visitors should be respectful.,4,2025-05-30,positive,synthetic,en
Sangat keren untuk wisata edukasi. Penjelasan sejarahnya jelas.,5,2026-01-29,positive,synthetic,id
Terlalu penuh rombongan besar dan jadi susah menikmati suasana. Banyak pengunjung tidak sopan saat berfoto.,2,2024-09-06,negative,synthetic,id
Budaya Toraja terasa kuat. Warga lokal ramah. Tolong jaga etika saat berkunjung.,5,2025-09-23,positive,synthetic,id
Nilai budaya terasa kuat. Warga lokal ramah. Tolong jaga etika saat berkunjung.,5,2025-11-07,positive,synthetic,id
Worth a stop if you're nearby. Mind your behavior.,3,2024-05-31,neutral,synthetic,en
Nilai budaya terasa kuat. Warga lokal ramah. Mohon respect tradisi setempat.,4,2025-12-19,positive,synthetic,id
Tradisi terasa kuat. Pengelola informatif. Pengunjung sebaiknya hormat dan sopan.,5,2024-07-31,positive,synthetic,id
Sangat menarik untuk wisata edukasi. Guide-nya informatif.,5,2024-08-16,positive,synthetic,id
"Secara umum oke. ada unsur komersial, tapi masih wajar. Hormati tradisi.",3,2025-11-15,neutral,synthetic,id
Sangat rekomendasi untuk wisata edukasi. Penjelasan sejarahnya jelas.,5,2024-06-30,positive,synthetic,id
The place is unique and the local traditions is strong. Be respectful and behave properly.,5,2025-03-11,positive,synthetic,en
"Interesting visit, but facilities are average. go early for fewer crowds.",3,2025-08-14,neutral,synthetic,en
"Lokasinya cukup menarik, tapi fasilitasnya standar. lebih enak datang pagi.",3,2024-06-27,neutral,synthetic,id
Secara umum oke. ticketing cukup tertata. Hormati tradisi.,3,2025-07-02,neutral,synthetic,id
Terlalu terlalu padat dan jadi susah menikmati suasana. Banyak pengunjung tidak sopan saat berfoto.,2,2025-02-28,negative,synthetic,id
Amazing cultural value and beautiful views. Great explanations from the guide.,4,2024-06-05,positive,synthetic,en
Sangat menarik untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-06-08,positive,synthetic,id
Worth a stop if you're nearby. Mind your behavior.,3,2024-08-30,neutral,synthetic,en
Menarik untuk dikunjungi. toiletnya biasa saja dan petunjuk arah minim.,3,2025-02-10,neutral,synthetic,id
Tempatnya luar biasa dan budayanya terasa kuat. Mohon respect tradisi setempat.,4,2025-12-19,positive,synthetic,id
Tempatnya bagus dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2024-07-29,positive,synthetic,id
"Interesting visit, but parking is limited. depends on the day.",3,2025-05-28,neutral,synthetic,en
Menarik untuk dikunjungi. toiletnya biasa saja dan petunjuk arah minim.,3,2024-06-01,neutral,synthetic,id
Tradisi terasa kuat. Petugas ramah dan membantu. Tolong jaga etika saat berkunjung.,5,2025-08-01,positive,synthetic,id
Terlalu penuh rombongan besar dan jadi kurang nyaman. Perilaku pengunjung mengganggu.,2,2025-10-07,negative,synthetic,id
The place is unique and the local traditions is strong. Please respect local traditions.,5,2025-04-05,positive,synthetic,en
Sangat rekomendasi untuk wisata edukasi. Guide-nya informatif.,4,2024-12-05,positive,synthetic,id
"Too overcrowded, hard to enjoy. A few groups were disrespectful.",2,2024-04-25,negative,synthetic,en
Budaya Toraja terasa kuat. Pengelola informatif. Tolong jaga etika saat berkunjung.,5,2025-12-31,positive,synthetic,id
The place is amazing and the local traditions is strong. Be respectful and behave properly.,4,2026-02-21,positive,synthetic,en
Terlalu terlalu padat dan jadi bising. Banyak pengunjung tidak sopan saat berfoto.,1,2025-09-19,negative,synthetic,id
Secara umum oke. ada beberapa kios. Hormati tradisi.,3,2025-08-25,neutral,synthetic,id
A sacred site with fascinating history. Be respectful and behave properly.,5,2026-01-25,positive,synthetic,en
Tempatnya luar biasa dan budayanya terasa kuat. Pengunjung sebaiknya hormat dan sopan.,5,2026-01-18,positive,synthetic,id
Budaya Toraja terasa kuat. Pengelola informatif. Pengunjung sebaiknya hormat dan sopan.,5,2025-07-11,positive,synthetic,id
Budaya Toraja terasa kuat. Petugas ramah dan membantu. Tolong jaga etika saat berkunjung.,4,2024-08-19,positive,synthetic,id
Tempatnya luar biasa dan nilai budaya Toraja terasa. Mohon respect tradisi setempat.,5,2025-10-17,positive,synthetic,id
Terlalu penuh rombongan besar dan jadi susah menikmati suasana. Attitude beberapa rombongan buruk.,2,2025-03-05,negative,synthetic,id
Secara umum oke. ada beberapa kios. Hormati tradisi.,3,2025-05-15,neutral,synthetic,id
The place is amazing and the local traditions is strong. Visitors should be respectful.,4,2025-11-25,positive,synthetic,en
Sangat menarik untuk wisata edukasi. Guide-nya informatif.,4,2024-11-07,positive,synthetic,id
Budaya Toraja terasa kuat. Pengelola informatif. Pengunjung sebaiknya hormat dan sopan.,5,2025-07-08,positive,synthetic,id
"Interesting visit, but parking is limited. go early for fewer crowds.",3,2025-01-06,neutral,synthetic,en
"Secara umum oke. ada unsur komersial, tapi masih wajar. Jaga sopan santun.",3,2024-12-07,neutral,synthetic,id
Saya kurang puas karena toilet kotor. Biaya masuk cukup mahal.,2,2024-12-02,negative,synthetic,id
Menarik untuk dikunjungi. fasilitasnya standar dan petunjuk arah minim.,3,2025-04-09,neutral,synthetic,id
Secara umum oke. ada beberapa kios. Respect ya.,3,2024-08-03,neutral,synthetic,id
Tempatnya bagus dan nilai budaya Toraja terasa. Pengunjung sebaiknya hormat dan sopan.,4,2024-06-17,positive,synthetic,id
"Lokasinya cukup menarik, tapi toiletnya biasa saja. lebih enak datang pagi.",3,2025-04-07,neutral,synthetic,id
Tempatnya indah dan nilai budaya Toraja terasa. Mohon respect tradisi setempat.,5,2025-05-03,positive,synthetic,id
"Interesting visit, but facilities are average. depends on the day.",3,2025-04-04,neutral,synthetic,en
Terlalu penuh rombongan besar dan jadi bising. Attitude beberapa rombongan buruk.,1,2025-02-11,negative,synthetic,id
Nilai budaya terasa kuat. Warga lokal ramah. Pengunjung sebaiknya hormat dan sopan.,4,2025-11-15,positive,synthetic,id
Not worth it: too pricey for what you get and unclear access path.,2,2024-08-06,negative,synthetic,en
"Banyak upsell dan kios. Untuk tempat sakral, ini terasa kurang etis.",2,2024-12-23,negative,synthetic,id
"Interesting visit, but restrooms are basic. depends on the day.",3,2026-01-24,neutral,synthetic,en
Tempatnya cantik dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,4,2026-02-22,positive,synthetic,id
Saya kecewa karena fasilitas kurang terawat. Harga ticket mahal.,2,2026-02-13,negative,synthetic,id
"Secara umum oke. ada unsur komersial, tapi masih wajar. Jaga sopan santun.",3,2026-04-07,neutral,synthetic,id
Tempatnya bagus dan tradisi lokal terasa hidup. Pengunjung sebaiknya hormat dan sopan.,5,2025-09-03,positive,synthetic,id
Nice overall. rules are not well explained and ticketing is organized.,3,2024-10-07,neutral,synthetic,en
Amazing cultural value and a peaceful atmosphere. Informative tour.,4,2026-03-06,positive,synthetic,en
Worth a stop if you're nearby. Mind your behavior.,3,2025-05-20,neutral,synthetic,en
Tempatnya bagus dan nilai budaya Toraja terasa. Mohon respect tradisi setempat.,4,2024-04-28,positive,synthetic,id
Tempatnya indah dan budayanya terasa kuat. Pengunjung sebaiknya hormat dan sopan.,5,2026-04-07,positive,synthetic,id
"Lokasinya lumayan, tapi fasilitasnya standar. cukup ramai saat jam tertentu.",3,2026-02-27,neutral,synthetic,id
Terlalu penuh rombongan besar dan jadi bising. Perilaku pengunjung mengganggu.,2,2024-10-03,negative,synthetic,id
Tempatnya luar biasa dan tradisi lokal terasa hidup. Pengunjung sebaiknya hormat dan sopan.,5,2024-08-16,positive,synthetic,id
Menarik untuk dikunjungi. area parkir sempit dan petunjuk arah minim.,3,2025-05-29,neutral,synthetic,id
Not worth it: too pricey for what you get and poor facilities.,2,2025-12-07,negative,synthetic,en
Tempatnya indah dan budayanya terasa kuat. Mohon respect tradisi setempat.,5,2024-07-04,positive,synthetic,id
Upsells everywhere. It feels unpleasant for a sacred place.,1,2024-09-17,negative,synthetic,en
Sangat keren untuk wisata edukasi. Penjelasan sejarahnya jelas.,5,2026-03-01,positive,synthetic,id
Terlalu terlalu padat dan jadi kurang nyaman. Banyak pengunjung tidak sopan saat berfoto.,1,2025-03-31,negative,synthetic,id
Nilai budaya terasa kuat. Pengelola informatif. Mohon respect tradisi setempat.,4,2024-06-12,positive,synthetic,id
Tradisi terasa kuat. Petugas ramah dan membantu. Tolong jaga etika saat berkunjung.,4,2024-12-23,positive,synthetic,id
"Nuansa komersialisasi berlebihan. Untuk tempat sakral, ini terasa tidak pantas.",1,2024-06-04,negative,synthetic,id
Tempatnya cantik dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2025-11-20,positive,synthetic,id
"Lokasinya cukup menarik, tapi toiletnya biasa saja. lebih enak datang pagi.",3,2025-05-21,neutral,synthetic,id
A sacred site with meaningful history. Please respect local traditions.,4,2025-10-25,positive,synthetic,en
Sangat rekomendasi untuk wisata edukasi. Guide-nya informatif.,5,2025-06-16,positive,synthetic,id
Amazing cultural value and great scenery. Informative tour.,5,2024-09-14,positive,synthetic,en
Tempatnya bagus dan tradisi lokal terasa hidup. Tolong jaga etika saat berkunjung.,4,2024-12-20,positive,synthetic,id
Budaya Toraja terasa kuat. Petugas ramah dan membantu. Pengunjung sebaiknya hormat dan sopan.,4,2025-10-24,positive,synthetic,id
Sangat menarik untuk wisata edukasi. Guide-nya informatif.,5,2024-08-19,positive,synthetic,id
Tradisi terasa kuat. Pengelola informatif. Pengunjung sebaiknya hormat dan sopan.,4,2026-03-24,positive,synthetic,id
Menarik untuk dikunjungi. toiletnya biasa saja dan papan informasinya kurang.,3,2024-06-15,neutral,synthetic,id
Amazing cultural value and great scenery. The guide was helpful.,4,2026-02-24,positive,synthetic,en
Not worth it: ticket price is expensive and poor facilities.,2,2025-05-14,negative,synthetic,en
Tempatnya indah dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2025-04-02,positive,synthetic,id
Worth a stop if you're nearby. Mind your behavior.,3,2024-08-17,neutral,synthetic,en
Tempatnya unik dan nilai budaya Toraja terasa. Pengunjung sebaiknya hormat dan sopan.,5,2024-07-03,positive,synthetic,id
Sangat rekomendasi untuk wisata edukasi. Guide-nya informatif.,4,2025-02-13,positive,synthetic,id
"Banyak upsell dan kios. Untuk tempat sakral, ini terasa mengganggu.",2,2025-11-06,negative,synthetic,id
Sangat menarik untuk wisata edukasi. Penjelasan sejarahnya jelas.,4,2025-07-23,positive,synthetic,id
Tempatnya unik dan tradisi lokal terasa hidup. Pengunjung sebaiknya hormat dan sopan.,4,2025-05-04,positive,synthetic,id
Nilai budaya terasa kuat. Pengelola informatif. Tolong jaga etika saat berkunjung.,5,2024-08-01,positive,synthetic,id
Saya kurang puas karena jalur akses rusak di beberapa titik. Biaya masuk cukup mahal.,2,2024-10-31,negative,synthetic,id
"Banyak upsell dan kios. Untuk tempat sakral, ini terasa mengganggu.",2,2025-07-09,negative,synthetic,id
Tradisi terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,5,2026-04-19,positive,synthetic,id
Worth a stop if you're nearby. Be respectful.,3,2026-04-17,neutral,synthetic,en
Menarik untuk dikunjungi. fasilitasnya standar dan petunjuk arah minim.,3,2025-12-30,neutral,synthetic,id
A sacred site with fascinating history. Be respectful and behave properly.,5,2024-08-07,positive,synthetic,en
Amazing cultural value and a peaceful atmosphere. Great explanations from the guide.,5,2025-09-17,positive,synthetic,en
Sangat keren untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2026-04-06,positive,synthetic,id
Tempatnya indah dan tradisi lokal terasa hidup. Pengunjung sebaiknya hormat dan sopan.,4,2024-06-26,positive,synthetic,id
Budaya Toraja terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,5,2024-08-10,positive,synthetic,id
Terlalu terlalu padat dan jadi kurang nyaman. Banyak pengunjung tidak sopan saat berfoto.,1,2024-04-23,negative,synthetic,id
A sacred site with wonderful history. Visitors should be respectful.,5,2025-09-05,positive,synthetic,en
"Too overcrowded, hard to enjoy. Visitor behavior ruined the experience.",2,2025-07-31,negative,synthetic,en
Nilai budaya terasa kuat. Warga lokal ramah. Pengunjung sebaiknya hormat dan sopan.,5,2025-02-09,positive,synthetic,id
A sacred site with wonderful history. Please respect local traditions.,5,2024-07-13,positive,synthetic,en
Sangat rekomendasi untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-06-12,positive,synthetic,id
Tempatnya luar biasa dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,4,2025-06-11,positive,synthetic,id
Terlalu penuh rombongan besar dan jadi kurang nyaman. Attitude beberapa rombongan buruk.,2,2024-06-01,negative,synthetic,id
Sangat menarik untuk wisata edukasi. Guide-nya informatif.,5,2024-09-16,positive,synthetic,id
Tempatnya indah dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2025-10-22,positive,synthetic,id
Tempatnya cantik dan budayanya terasa kuat. Tolong jaga etika saat berkunjung.,5,2025-11-18,positive,synthetic,id
Sangat keren untuk wisata edukasi. Penjelasan sejarahnya jelas.,5,2024-06-13,positive,synthetic,id
Amazing cultural value and beautiful views. The guide was helpful.,5,2024-04-29,positive,synthetic,en
Upsells everywhere. It feels unpleasant for a sacred place.,2,2024-11-22,negative,synthetic,en
The place is amazing and the local traditions is strong. Please respect local traditions.,4,2025-08-13,positive,synthetic,en
Saya kecewa karena jalur akses rusak di beberapa titik. Biaya masuk cukup mahal.,1,2024-12-23,negative,synthetic,id
A sacred site with wonderful history. Be respectful and behave properly.,5,2025-11-17,positive,synthetic,en
Sangat rekomendasi untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2024-05-06,positive,synthetic,id
Tradisi terasa kuat. Petugas ramah dan membantu. Tolong jaga etika saat berkunjung.,5,2025-12-31,positive,synthetic,id
Terlalu terlalu padat dan jadi bising. Perilaku pengunjung mengganggu.,2,2024-04-27,negative,synthetic,id
Tempatnya bagus dan budayanya terasa kuat. Pengunjung sebaiknya hormat dan sopan.,5,2025-09-04,positive,synthetic,id
Terlalu ramai sekali dan jadi kurang nyaman. Attitude beberapa rombongan buruk.,2,2025-10-28,negative,synthetic,id
Tempatnya bagus dan tradisi lokal terasa hidup. Mohon respect tradisi setempat.,5,2025-04-29,positive,synthetic,id
The place is great and the cultural heritage is strong. Please respect local traditions.,5,2024-09-20,positive,synthetic,en
Tradisi terasa kuat. Pengelola informatif. Pengunjung sebaiknya hormat dan sopan.,5,2024-05-30,positive,synthetic,id
The place is great and the cultural heritage is strong. Visitors should be respectful.,5,2025-12-18,positive,synthetic,en
"Too packed, hard to enjoy. A few groups were disrespectful.",2,2024-10-13,negative,synthetic,en
Tempatnya luar biasa dan nilai budaya Toraja terasa. Pengunjung sebaiknya hormat dan sopan.,5,2024-12-23,positive,synthetic,id
Amazing cultural value and beautiful views. Great explanations from the guide.,4,2025-10-01,positive,synthetic,en
"Lokasinya cukup menarik, tapi area parkir sempit. tergantung hari kunjungan.",3,2025-08-02,neutral,synthetic,id
"Nuansa komersialisasi berlebihan. Untuk tempat sakral, ini terasa mengganggu.",2,2025-04-21,negative,synthetic,id
Nilai budaya terasa kuat. Petugas ramah dan membantu. Tolong jaga etika saat berkunjung.,5,2024-06-20,positive,synthetic,id
Tradisi terasa kuat. Warga lokal ramah. Pengunjung sebaiknya hormat dan sopan.,5,2025-03-09,positive,synthetic,id
Sangat rekomendasi untuk wisata edukasi. Pemandu menjelaskan dengan baik.,5,2025-10-27,positive,synthetic,id
Terlalu terlalu padat dan jadi bising. Perilaku pengunjung mengganggu.,2,2024-10-14,negative,synthetic,id
Budaya Toraja terasa kuat. Petugas ramah dan membantu. Mohon respect tradisi setempat.,5,2026-04-12,positive,synthetic,id
